"product_id","product_name","original_price","capacity","brand","top_note","heart_note","base_note","rating","number_of_raters","brand_id","selling_price","website_id"
41,Christian Dior Miss Dior Blooming Bouquet 淡香水套裝 2件裝,"1,474.00","2件裝",Dior,香豌豆、香檸檬,玫瑰、牡丹,白麝香,4.0,9072.0,39,949.00,1
66,Christian Dior Miss Dior Blooming Bouquet 淡香水5毫升,"115.00","5毫升",Dior,香豌豆、香檸檬,玫瑰、牡丹,白麝香,4.0,9072.0,39,98.00,1
70,Christian Dior Miss Dior Wake up for Love 香水 50毫升,"1,110.00","50毫升",Dior,鈴蘭、牡丹、鳶尾花、翠綠露水,五月玫瑰,麝香木、巴布亞香草、安息香、零陵香豆、檀木,NaN,NaN,39,749.00,1
81,Christian Dior Miss Dior Rose N Roses 淡香水 50毫升,"900.00",NaN,Dior,格拉斯和大馬士革玫瑰,意大利柑橘、佛手柑和天竺葵,白麝香,4.0,730.0,39,616.00,1
87,Christian Dior J’adore Parfum D’eau 淡香精 100毫升,"1,600.00","100毫升",Dior,NaN,NaN,NaN,4.0,317.0,39,1159.00,1
88,Christian Dior J'adore L'Or 香精 50毫升,"1,700.00","50毫升",Dior,橙花,茉莉、玫瑰,香草,NaN,NaN,39,1190.00,1
94,Christian Dior Sauvage 香精 100毫升,"1,310.00","100毫升",Dior,柑橘,陵香豆、檀香木,NaN,NaN,NaN,39,967.00,1
110,Christian Dior Miss Dior Wake up for Love 香水 5毫升,"140.00","5毫升",Dior,鈴蘭、牡丹、鳶尾花、翠綠露水,五月玫瑰,麝香木、巴布亞香草、安息香、零陵香豆、檀木,NaN,NaN,39,98.00,1
141,Christian Dior Miss Dior Rose N’Roses 淡香水 5毫升,"115.00","5毫升",Dior,格拉斯和大馬士革玫瑰,意大利柑橘、佛手柑和天竺葵,白麝香,4.0,730.0,39,98.00,1
142,Christian Dior J’adore 淡香水 100毫升,"1,300.00",NaN,Dior,血橙精華,瓦洛里橙花,大馬士革玫瑰精華,4.0,19420.0,39,928.00,1
150,Christian Dior 真我噴式香水 50亳升,"1,110.00","50亳升",Dior,NaN,NaN,NaN,NaN,NaN,39,835.00,1
206,Christian Dior 真我噴式香水 100亳升,"1,600.00","100亳升",Dior,NaN,NaN,NaN,NaN,NaN,39,1065.00,1
439,Christian Dior Miss Dior Rose N Roses 淡香水 100毫升,"1,300.00",NaN,Dior,格拉斯和大馬士革玫瑰,意大利柑橘、佛手柑和天竺葵,白麝香,4.0,730.0,39,760.00,1
500,Christian Dior J’adore Infinissime 淡香精 50毫升,"1,170.00",NaN,Dior,血橙、佛手柑,格拉斯晚香玉、雙瓣茉莉、依蘭依蘭及五月玫瑰,檀香木,3.5,225.0,39,799.00,1
2,Christian Dior Sauvage 男士淡香水 100亳升,"990.00","100亳升",Dior,卡拉布里亞佛手柑,降龍涎香,NaN,NaN,NaN,39,850.00,1
5,Christian Dior Miss Dior Blooming Bouquet 淡香水 100毫升,"1,340.00","100毫升",Dior,香豌豆、香檸檬,玫瑰、牡丹,白麝香,4.0,9072.0,39,855.00,1
212,Christian Dior J’adore Parfum D’eau 淡香精 50毫升,"1,110.00","50毫升",Dior,NaN,NaN,NaN,NaN,NaN,39,799.00,1
509,Christian Dior 迪奥小姐花漾迷你淡香水 5毫升,"115.00",NaN,Dior,西西里香橙,牡丹花,白麝香,NaN,NaN,39,98.00,1
513,Christian Dior Miss Dior Blooming Bouquet走珠淡香水 20毫升,"430.00",NaN,Dior,卡拉布里亞香檸檬,大馬士革玫瑰精華、牡丹花,白麝香,4.5,268.0,39,299.00,1
516,【網店限定】Christian Dior 甜心精靈噴式淡香水(EDT) 100毫升,"1,100.00",NaN,Dior,NaN,NaN,NaN,NaN,NaN,39,715.00,1
121,【網店限定】Hermes 屋頂花園 淡香水,"760.00","50毫升",Hermès,蘋果、香梨、玫瑰,綠草、羅勒,木蘭,NaN,NaN,17,549.00,1
124,Hermes 花園系列迷你香水套裝 4件裝,"515.00","4件裝",Hermès,青芒果、葡萄柚•中調：,尼羅河睡蓮、青草香氣•後調：,梧桐、乳香,NaN,NaN,17,437.00,1
125,Hermes 大地男性淡香水 50亳升,"800.00","50亳升",Hermès,葡萄柚、香橙,天竺葵、玫瑰、廣藿香,安息香、雪松、香根草、甜椒,NaN,NaN,17,480.00,1
131,Hermes 大地男士淡香水套裝 3件裝,"1,511.00","3件裝",Hermès,葡萄柚、橙,天竺葵、玫瑰、廣藿香,安息香、香根草、甜椒,NaN,NaN,17,669.00,1
140,Hermes Un Jardin Sur Le 淡香水套裝 3件裝,"937.00","3件裝",Hermès,青芒果、葡萄柚,尼羅河睡蓮、青草香氣,梧桐、乳香,4.5,46369.0,17,498.00,1
195,【網店限定】Hermès H24 淡香水 15毫升,"330.00","15毫升",Hermès,NaN,NaN,NaN,NaN,NaN,17,189.00,1
233,Hermes Un Jardin Sur Le Nil 淡香水套裝 3件裝,"1,340.00","3件裝",Hermès,青芒果、葡萄柚,尼羅河睡蓮、青草香氣,梧桐、乳香,4.5,46369.0,17,799.00,1
239,Hermes Terre D'hermes淡香水+沐浴露套裝 2件裝,"1,200.00","2件裝",Hermès,葡萄柚、橙,天竺葵、玫瑰、廣藿香,安息香、西洋杉、香根、甜椒,5.0,45330.0,17,699.00,1
274,【網店限定】Hermes 李先生花園淡香水 100毫升,"1,075.00","100毫升",Hermès,金桔,茉莉,薄荷,NaN,NaN,17,755.00,1
319,【網店限定】Hermes 淡香水 50毫升,"760.00","50毫升",Hermès,金橘• 中調：,茉莉、薄荷• 後調：,麝香,NaN,NaN,17,569.00,1
487,【網店限定】Hermes 屋頂花園 淡香水 100毫升,"1,090.00",NaN,Hermès,蘋果、香梨、玫瑰 中調：,綠草、羅勒後調：,木蘭,NaN,NaN,17,669.00,1
383,Hermes Un Jardin Sur Le Nil 淡香水套裝 2件裝,"1,275.00","2件裝",Hermès,青芒果,蓮花、菖蒲,槭木,4.5,46371.0,17,892.00,1
437,Hermes H24 男士淡香水 100毫升,"1,085.00",NaN,Hermès,鼠尾草,水仙、玫瑰木,Sclarene,3.5,2899.0,17,649.00,1
452,【網店限定】Hermes H24 男士淡香水套裝 2件裝,"1,015.00",NaN,Hermès,鼠尾草,水仙、玫瑰木,Sclarene,3.5,2899.0,17,668.00,1
450,【網店限定】Le Labo 抹茶淡香精 50毫升,"1,770.00",NaN,LE LABO,抹茶、奶油無花果,苦橙,香根草,NaN,NaN,43,1328.00,1
213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,,1
144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,,1
160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,,1
21,Chanel N°5香水 經典 50毫升,"1,110.00","50毫升",Chanel,乙醛、橙花,玫瑰、茉莉,香草、檀香木、香根草,NaN,NaN,32,945.00,1
223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,,1
23,Givenchy 小熊寶寶香水淡香水 50毫升,"408.00","50毫升",Givenchy,檸檬、留蘭香薄荷、檸檬草,茉莉、鈴蘭、金銀花,NaN,NaN,NaN,16,285.00,1
338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,,1
327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,,1
24,Chanel BLEU DE CHANEL 男士淡香水 100毫升,"990.00","100毫升",Chanel,柑橘香調、香根草、粉紅胡椒,葡萄柚、乾燥的乾雪松、勞丹脂,乳香、生薑、檀香木,4.0,5340.0,32,860.00,1
501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,,1
28,Calvin Klein One 淡香水 200亳升,"700.00","200亳升",Calvin Klein,佛手柑、荳蔻、新鮮鳳梨、木瓜、檸檬,茉莉花、鈴蘭、玫瑰、肉荳蔻、百合、鳶尾草,麝香、琥珀、檀香、雪松、橡木苔,4.0,19341.0,65,209.00,1
31,Jo Malone 古龍水套裝 2件裝,"1,340.00","2件裝",Jo Malone,紅蘋果,牡丹,皮質香,NaN,NaN,14,735.00,1
33,Diptyque 杜桑淡香水 100亳升,"1,220.00","100亳升",Diptyque,非洲橙子花、玫瑰和鸢尾,晚香玉、粉色胡椒,安息香、麝香,NaN,NaN,59,915.00,1
34,Gucci Flora Gorgeous Gardenia 淡香精 (限量版) 100毫升,"1,320.00","100毫升",Gucci,紅莓果,白色梔子花、赤素馨花,廣藿香、黃糖香,4.0,373.0,22,700.00,1
35,Chloé 迷你香水禮盒 4件装,"465.00","4件裝",Chloé,牡丹、荔枝、小蒼蘭。,玫瑰花瓣、木蘭。,琥珀、木質香。,NaN,NaN,64,299.00,1
36,Jo Malone Wild Bluebell 藍風鈴古龍水 30毫升,"670.00","30亳升",Jo Malone,藍風鈴、丁香,茉莉、百合、玫瑰果,白琥珀、麝香,4.0,31372.0,14,375.00,1
37,Chanel 粉紅邂逅噴式淡香水 50毫升,"920.00","50毫升",Chanel,葡萄柚、榅桲(quince)帶出清新美花果香之調。,茉莉、風信子、鳶尾花將甜美優雅中帶點調皮的感覺緩緩帶出。,沉醉於溫醇白麝香、雪松、琥珀，帶出甜蜜幸福的韻味。,NaN,NaN,32,788.00,1
38,Byredo Blanche 返璞歸真香水 50毫升,"1,550.00","50毫升",Byredo,乙醛香、粉紅胡椒、白玫瑰,橙花、牡丹及紫羅蘭,金色木調、麝香及檀香木,3.5,7561.0,35,1159.00,1
39,Bvlgari Petits Et Mamans 女用淡香水噴霧 100毫升,"670.00","100毫升",Bvlgari,西裡島橙、香檸檬、巴西花梨木,向日葵、洋甘菊、玫瑰,鳶尾、香草、白桃、粉香元素,3.5,6181.0,13,469.00,1
40,【網店限定】Giorgio Armani My Way 香水 90毫升,"1,325.00","90毫升",Giorgio Armani,佛手柑、橙花,晚香玉、茉莉花,雪松、香草、白麝香,4.0,19046.0,25,880.00,1
42,【網店限定】Marc Jacobs 清甜雛菊女性淡香水 125毫升,"925.00","125毫升",Marc Jacobs,覆盆莓、紅葡萄柚、青翠綠葉、洋梨,紫蘿蘭、野生玫瑰、蘋果花、荔枝、茉莉花瓣,麝香、洋李、雪松,NaN,NaN,37,601.00,1
43,Chanel N°5香水 經典 100毫升,"1,580.00","100毫升",Chanel,乙醛、橙花,玫瑰、茉莉,香草、檀香木、香根草,NaN,NaN,32,1348.00,1
44,【網店限定】Burberry 粉紅風格淡香水 50毫升,"750.00","50亳升",Burberry,NaN,NaN,NaN,NaN,NaN,20,275.00,1
45,Bvlgari Pour Homme 男士淡香水 100毫升,"1,040.00","100毫升",Bvlgari,大吉嶺茶,愈創木、豆蔻,木質香、透明琥珀,4.5,45077.0,13,624.00,1
47,Diptyque 玫瑰之水淡香水 100毫升,"1,220.00","100毫升",Diptyque,NaN,NaN,NaN,NaN,NaN,59,879.00,1
48,Penhaligon’s Scent Library 香水套裝 10件裝,"290.00","10件裝",Penhaligon'S,NaN,NaN,NaN,NaN,NaN,15,245.00,1
49,Gucci 罪愛男士淡香水 90毫升,"1,030.00","90毫升",Gucci,檸檬、薰衣草,橙花,廣藿香,NaN,NaN,22,597.00,1
50,【網店限定】Diptyque 紙墨之水淡香水 50毫升,"800.00","50毫升",Diptyque,NaN,NaN,NaN,NaN,NaN,59,699.00,1
51,Giorgio Armani Accuq Di Giò 寄情水男士淡香水 100毫升,"720.00","100毫升",Giorgio Armani,NaN,NaN,NaN,4.0,15792.0,25,550.00,1
52,"4711 Acqua Colonia 迷你古龍水套裝 5件裝","215.00","5件裝","4711",NaN,NaN,NaN,NaN,NaN,60,109.00,1
53,Diptyque 杜桑淡香水 50亳升,"880.00","50亳升",Diptyque,非洲橙子花、玫瑰和鸢尾,晚香玉、粉色胡椒,安息香、麝香,NaN,NaN,59,660.00,1
54,【網店限定】Acqua Di Parma 藍色地中海卡拉布裡亞香檸檬淡香水 75毫升,"1,370.00","75毫升",Acqua Di Parma,清甜的香檸檬和香櫞，果香瀰漫，令人沉醉,飽滿辛辣的生薑，深沉的雪松和花香，奇異的搭配完美融合,香根草、安息香脂、麝香，清新木質香調沉澱歲月經典,NaN,NaN,31,599.00,1
55,Davidoff Cool Water 冷水男士淡香水 125毫升,"710.00","125毫升",Davidoff,薄荷、草木香調、薰衣草、香菜、迷迭香,天竺葵、橙花、茉莉、檀香,雪松、麝香、琥珀、煙草,4.0,21752.0,29,205.00,1
57,Elizabeth Arden 綠茶櫻花香水 236毫升,"139.00","236毫升",Elizabeth Arden,佛手柑、梨、粉紅胡椒,櫻花、茉莉花瓣、玉蘭,奶油香草、木質香,NaN,NaN,66,68.00,1
60,Jo Malone 鼠尾草與海鹽古龍水 30毫升,"670.00","30亳升",Jo Malone,秋葵籽,海鹽,鼠尾草,NaN,NaN,14,399.00,1
61,Jo Malone 英國梨與小蒼蘭古龍水 9毫升,"265.00","9毫升",Jo Malone,蜜瓜、香梨,小蒼蘭、玫瑰,麝香、廣藿香、琥珀、大黃,NaN,NaN,14,135.00,1
62,Chanel Gabrielle Chanel 香水 100毫升,"1,580.00","100毫升",Chanel,橘子、葡萄柚、黑醋栗。,晚香玉、茉莉、橙子花、粉色胡椒、伊蘭伊蘭、鈴蘭。,檀木、麝香、木麝香、鳶尾草。,4.0,4146.0,32,1348.00,1
63,【網店限定】Coach Floral 淡香水 30毫升,"410.00","30毫升",Coach,鳳梨、粉紅胡椒、檸檬,玫瑰、茉莉、梔子花,廣藿香、麝香、奶油木香,NaN,NaN,9,328.00,1
64,Byredo Blanche 返璞歸真香水 100毫升,"2,200.00","100毫升",Byredo,乙醛香、粉紅胡椒、白玫瑰,橙花、牡丹及紫羅蘭,金色木調、麝香及檀香木,3.5,7561.0,35,1650.00,1
65,Elizabeth Arden 白茶淡香水 100毫升,"500.00","100毫升",Elizabeth Arden,意大利甜橙、快樂鼠尾草、海洋微風香調、日本白蕨。,白茶精粹、巴拉圭馬黛茶、白鳶尾花、土耳其玫瑰、胡桃香氣。,馬德拉斯木、黃葵籽、東加豆、琥珀木、麝香。,4.0,5384.0,66,288.00,1
56,【網店限定】Hermes Un Jardin Sur Le Nil 淡香水 50亳升,"760.00","50亳升",Hermès,青芒果、葡萄柚,尼羅河睡蓮、青草香氣,梧桐、乳香,4.5,46369.0,17,549.00,1
58,【網店限定】Hermes 橘綠之泉古龍水 15毫升,"235.00","15毫升",Hermès,NaN,NaN,NaN,NaN,NaN,17,165.00,1
59,Yves Saint Laurent Y Men Fraîche 淡香水 100毫升,"770.00","100毫升",Yves Saint Laurent (YSL),檸檬、姜、薄荷、辛醇,杜松、快樂鼠尾草、天竺葵、薰衣草油,雪松、香脂杉、乳香、龍涎香,4.0,107.0,27,616.00,1
75,Calvin Klein Be 淡香水 100亳升,"510.00","100亳升",Calvin Klein,NaN,NaN,NaN,4.0,7421.0,65,155.00,1
76,Acqua di Parma 桃金娘加州桂淡香水 75毫升,"870.00","75毫升",Acqua Di Parma,桃金娘、羅勒、檸檬、香檸檬,海洋調、茉莉、玫瑰,乳香脂、杜松、雪松、琥珀,NaN,NaN,31,588.00,1
78,Loewe 001女士淡香水,"858.00","75毫升",Loewe,橘子、佛手柑,埃及茉莉、亞麻,麝香、雲呢拿香草,NaN,NaN,55,636.00,1
79,【網店限定】Jo Malone 黑莓子與月桂葉古龍水,"565.00 ~ 1,155.00",NaN,Jo Malone,葡萄柚、黑莓,月桂葉、花香調,香根草、雪松珀,NaN,NaN,14,348.00,1
82,Gucci Flora Gorgeous Jasmine香水 50ml,"965.00","50ml",Gucci,柑橘,大茉莉花、木蘭香,黃檀,3.5,1022.0,22,540.00,1
83,Jo Malone 牡丹與胭紅麂絨古龍水 9毫升,"265.00","9毫升",Jo Malone,紅蘋果,牡丹,皮質香,NaN,NaN,14,135.00,1
84,【網店限定】Burberry 粉紅風格淡香水 30亳升,"460.00","30亳升",Burberry,NaN,NaN,NaN,NaN,NaN,20,230.00,1
85,Gucci Bloom花朵盛開淡香精 100毫升,"1,320.00","100毫升",Gucci,NaN,NaN,NaN,4.0,12308.0,22,675.00,1
86,Diptyque 影中之水淡香水 50亳升,"880.00","50亳升",Diptyque,玫瑰、黑醋栗葉、黑醋栗,香檸檬、 橘子,龍涎香、麝香,NaN,NaN,59,645.00,1
15,Christian Dior Sauvage 男士淡香水 60亳升,"740.00","60亳升",Dior,卡拉布里亞佛手柑,降龍涎香,NaN,NaN,NaN,39,588.00,1
89,Issey Miyake L’Eau D’Issey Eau de Toilette 一生之水女士淡香水 100毫升,"1,060.00","100毫升",Issey Miyake,蓮花、小蒼蘭、櫻草、玫瑰,康乃馨、白色百合、牡丹,麝香、琥珀、晚香玉、檀香、柏木,4.0,56.0,51,954.00,1
90,Bvlgari Aqva Pour Homme Marine 男士淡香水 100毫升,"1,040.00","100毫升",Bvlgari,橙花﹑葡萄柚,海藻﹑綠葉精華,迷迭香﹑白雪松木,4.0,5606.0,13,540.00,1
91,Diptyque 影中之水淡香水 100亳升,"1,220.00","100亳升",Diptyque,玫瑰、黑醋栗葉、黑醋栗,香檸檬、 橘子,龍涎香、麝香,NaN,NaN,59,915.00,1
72,Hermes Un Jardin Sur Le Nil 淡香水 100毫升,"1,275.00","100毫升",Hermès,青芒果、葡萄柚中調：,尼羅河睡蓮、青草香氣後調：,梧桐、乳香,4.5,46369.0,17,765.00,1
92,【網店限定】Givenchy 小熊寶寶香水淡香水 100毫升,"465.00","100毫升",Givenchy,檸檬、留蘭香薄荷、檸檬草,茉莉、鈴蘭、金銀花,NaN,NaN,NaN,16,325.00,1
256,Chanel N°5淡香水 50毫升,"920.00","50毫升",Chanel,NaN,NaN,NaN,NaN,NaN,32,788.00,1
93,Diptyque 譚道淡香水 50毫升,"880.00","50毫升",Diptyque,玫瑰、桃金娘和意大利丝柏,檀木、雪松,香辛料、琥珀、白麝香和蔷薇木,NaN,NaN,59,660.00,1
95,Giorgio Armani Code 淡香水 75毫升,"680.00","75毫升",Giorgio Armani,青柑橘,薰衣草,零陵香豆,4.0,985.0,25,544.00,1
96,【網店限定】Acqua Di Parma 藍色地中海阿瑪非無花果淡香水 30毫升,"535.00","30毫升",Acqua Di Parma,清甜多汁的葡萄柚、香檸檬、檸檬、香櫞，果香凝聚，盪漾香甜。,微微辛辣的粉紅胡椒、茉莉、無花果，糅合剛性與柔美的香調。,NaN,NaN,NaN,31,359.00,1
97,Byredo Super Cedar 超級雪松香水 50毫升,"1,450.00","50毫升",Byredo,玫瑰花瓣,弗吉尼亞州雪松,海地香根草、麝香,4.0,23906.0,35,1159.00,1
98,Gucci Flora Gorgeous Gardenia 淡香精 (限量版) 50毫升,"965.00","50毫升",Gucci,紅莓果,白色梔子花、赤素馨花,廣藿香、黃糖香,NaN,NaN,22,540.00,1
99,【網店限定】Atelier Cologne 赤霞橘光香水 30毫升,"650.00","30毫升",Atelier Cologne,意大利血橙,中國天竺葵,澳洲檀香木,NaN,NaN,36,455.00,1
101,【網店限定】Sevaa 薰衣草複方精華油 30毫升,"550.00","30毫升",Sevaa,NaN,NaN,NaN,NaN,NaN,67,219.00,1
102,Gucci Flora Gorgeous Gardenia 淡香精套裝 2件裝,"1,320.00","2件裝",Gucci,紅莓果,白色梔子花、赤素馨花,廣藿香、黃糖香,3.5,2773.0,22,820.00,1
103,Chanel COCO MADEMOISELLE 淡香水 50毫升,"920.00","50毫升",Chanel,西西里橙、卡拉布里亞佛手柑。,晨間玫瑰、茉莉。,廣藿香、海地香根草、留尼汪香草、白麝香。,4.0,1253.0,32,788.00,1
104,Burberry 風格女性淡香精 100毫升,"1,240.00","100毫升",Burberry,NaN,NaN,NaN,NaN,NaN,20,372.00,1
77,【網店限定】Hermes 屋頂花園淡香水 15毫升,"283.00","15毫升",Hermès,NaN,NaN,NaN,NaN,NaN,17,189.00,1
80,【網店限定】Hermes 李先生花園淡香水 15毫升,"330.00","15毫升",Hermès,金桔,茉莉,薄荷,NaN,NaN,17,189.00,1
100,【網店限定】Hermes 大地男士淡香水 15毫升,"240.00","15毫升",Hermès,葡萄柚、柑橘,天竺葵、玫瑰、廣藿香,安息香、香根草、甜椒,NaN,NaN,17,189.00,1
113,【網店限定】Anna Sui 許願精靈淡香水 30毫升,"415.00","30毫升",Anna Sui,檸檬、甜瓜、萬壽菊,鳳梨、黑加倫子,白色麝香、琥珀、麝香,NaN,NaN,26,332.00,1
114,【網店限定】Maison Margiela 航海日淡香水 100毫升,"1,150.00","100毫升",Maison Margiela,海水、醛、杜松,芫菜、鳶尾花提純、玫瑰,紅海藻、龍涎香，琥珀木,NaN,NaN,61,805.00,1
115,Bvlgari Eau Parfumée Au Thé Vert 古龍水 75毫升,"825.00","75毫升",Bvlgari,佛手柑,綠茶香調,蜂蠟、零陵香豆,NaN,NaN,13,488.00,1
116,Byredo Mojave Ghost荒漠孤影香水 50毫升,"1,550.00","50毫升",Byredo,黃葵、人參果,紫羅蘭、木梨,雪松,4.0,6310.0,35,1159.00,1
117,Anna Sui 迷你淡香水套裝 5件裝,"460.00","5件裝",Anna Sui,梨子、佛手柑、粉紅胡椒,鈴蘭、玫瑰,喜瑪拉雅雪松、絲柏。,NaN,NaN,26,368.00,1
118,Narciso Rodriguez For Her淡香精 100毫升,"1,200.00","100毫升",Narciso Rodriguez,玫瑰、蜜桃。,麝香。,廣藿香、琥珀木香。,4.0,15983.0,5,1080.00,1
119,Chanel Gabrielle 嘉柏麗爾天性香水 100毫升,"1,580.00","100毫升",Chanel,輕柔甜蜜的柑橘果香調,NaN,感性迷人的木質調.,4.0,4146.0,32,1348.00,1
